Training Start
Compression Rate: 0.8
SNR Value: 10
"epoch: 0, Train Loss: 1.006907, Train Acc: 0.234242, Eval Loss: 0.875600, Eval Acc: 0.492979, PSNR: 3.476247"
"epoch: 1, Train Loss: 0.767509, Train Acc: 0.616405, Eval Loss: 0.672638, Eval Acc: 0.693335, PSNR: 2.233719"
"epoch: 2, Train Loss: 0.611124, Train Acc: 0.719799, Eval Loss: 0.552936, Eval Acc: 0.749604, PSNR: 3.517767"
"epoch: 3, Train Loss: 0.515693, Train Acc: 0.758279, Eval Loss: 0.476612, Eval Acc: 0.775020, PSNR: 5.933033"
"epoch: 4, Train Loss: 0.453047, Train Acc: 0.779368, Eval Loss: 0.425231, Eval Acc: 0.792128, PSNR: 8.268318"
"epoch: 5, Train Loss: 0.409877, Train Acc: 0.792677, Eval Loss: 0.389252, Eval Acc: 0.803006, PSNR: 6.603005"
"epoch: 6, Train Loss: 0.379229, Train Acc: 0.803155, Eval Loss: 0.363294, Eval Acc: 0.811808, PSNR: 7.634163"
"epoch: 7, Train Loss: 0.356735, Train Acc: 0.811101, Eval Loss: 0.343859, Eval Acc: 0.818532, PSNR: 8.259924"
"epoch: 8, Train Loss: 0.339792, Train Acc: 0.817597, Eval Loss: 0.329115, Eval Acc: 0.823972, PSNR: 9.925699"
"epoch: 9, Train Loss: 0.326620, Train Acc: 0.823677, Eval Loss: 0.317474, Eval Acc: 0.828817, PSNR: 9.366793"
"epoch: 10, Train Loss: 0.316183, Train Acc: 0.828758, Eval Loss: 0.308164, Eval Acc: 0.834949, PSNR: 9.371154"
"epoch: 11, Train Loss: 0.307745, Train Acc: 0.831623, Eval Loss: 0.300556, Eval Acc: 0.836432, PSNR: 10.700144"
"epoch: 12, Train Loss: 0.300706, Train Acc: 0.835738, Eval Loss: 0.294043, Eval Acc: 0.840981, PSNR: 10.580204"
"epoch: 13, Train Loss: 0.294735, Train Acc: 0.838553, Eval Loss: 0.288553, Eval Acc: 0.842860, PSNR: 9.516797"
"epoch: 14, Train Loss: 0.289616, Train Acc: 0.840368, Eval Loss: 0.283898, Eval Acc: 0.846025, PSNR: 10.680518"
"epoch: 15, Train Loss: 0.284992, Train Acc: 0.843450, Eval Loss: 0.279598, Eval Acc: 0.848101, PSNR: 10.477019"
"epoch: 16, Train Loss: 0.280972, Train Acc: 0.844666, Eval Loss: 0.275625, Eval Acc: 0.852551, PSNR: 10.741117"
"epoch: 17, Train Loss: 0.277279, Train Acc: 0.847531, Eval Loss: 0.272262, Eval Acc: 0.852453, PSNR: 10.918387"
"epoch: 18, Train Loss: 0.273952, Train Acc: 0.848964, Eval Loss: 0.269006, Eval Acc: 0.855518, PSNR: 12.724644"
"epoch: 19, Train Loss: 0.270862, Train Acc: 0.850563, Eval Loss: 0.266084, Eval Acc: 0.857991, PSNR: 11.900626"
"epoch: 20, Train Loss: 0.268044, Train Acc: 0.852645, Eval Loss: 0.263363, Eval Acc: 0.860661, PSNR: 12.117060"
"epoch: 21, Train Loss: 0.265388, Train Acc: 0.853078, Eval Loss: 0.260898, Eval Acc: 0.859869, PSNR: 13.514846"
"epoch: 22, Train Loss: 0.262956, Train Acc: 0.855444, Eval Loss: 0.258322, Eval Acc: 0.863232, PSNR: 12.585680"
"epoch: 23, Train Loss: 0.260604, Train Acc: 0.856543, Eval Loss: 0.256110, Eval Acc: 0.864814, PSNR: 12.318417"
"epoch: 24, Train Loss: 0.258384, Train Acc: 0.857143, Eval Loss: 0.254083, Eval Acc: 0.863825, PSNR: 12.087289"
"epoch: 25, Train Loss: 0.256271, Train Acc: 0.858825, Eval Loss: 0.251920, Eval Acc: 0.865111, PSNR: 11.840699"
"epoch: 26, Train Loss: 0.254293, Train Acc: 0.860041, Eval Loss: 0.250122, Eval Acc: 0.866594, PSNR: 12.552490"
"epoch: 27, Train Loss: 0.252382, Train Acc: 0.860741, Eval Loss: 0.248188, Eval Acc: 0.868671, PSNR: 11.697417"
"epoch: 28, Train Loss: 0.250529, Train Acc: 0.861157, Eval Loss: 0.246349, Eval Acc: 0.867188, PSNR: 12.979942"
"epoch: 29, Train Loss: 0.248764, Train Acc: 0.862323, Eval Loss: 0.244780, Eval Acc: 0.868869, PSNR: 12.485431"
"epoch: 30, Train Loss: 0.247161, Train Acc: 0.863706, Eval Loss: 0.243055, Eval Acc: 0.869462, PSNR: 11.947634"
"epoch: 31, Train Loss: 0.245494, Train Acc: 0.864955, Eval Loss: 0.241531, Eval Acc: 0.871737, PSNR: 13.145173"
"epoch: 32, Train Loss: 0.244006, Train Acc: 0.865255, Eval Loss: 0.239869, Eval Acc: 0.871835, PSNR: 13.621569"
"epoch: 33, Train Loss: 0.242511, Train Acc: 0.865888, Eval Loss: 0.238542, Eval Acc: 0.871440, PSNR: 11.811580"
"epoch: 34, Train Loss: 0.241011, Train Acc: 0.867321, Eval Loss: 0.237122, Eval Acc: 0.873121, PSNR: 11.115546"
"epoch: 35, Train Loss: 0.239617, Train Acc: 0.868154, Eval Loss: 0.235741, Eval Acc: 0.873220, PSNR: 13.536204"
"epoch: 36, Train Loss: 0.238307, Train Acc: 0.868154, Eval Loss: 0.234644, Eval Acc: 0.873418, PSNR: 12.065087"
"epoch: 37, Train Loss: 0.236991, Train Acc: 0.868937, Eval Loss: 0.233441, Eval Acc: 0.873813, PSNR: 13.024777"
"epoch: 38, Train Loss: 0.235767, Train Acc: 0.869969, Eval Loss: 0.231936, Eval Acc: 0.873616, PSNR: 11.750035"
"epoch: 39, Train Loss: 0.234444, Train Acc: 0.870219, Eval Loss: 0.230702, Eval Acc: 0.873616, PSNR: 13.191721"
"epoch: 40, Train Loss: 0.233353, Train Acc: 0.871019, Eval Loss: 0.229458, Eval Acc: 0.876483, PSNR: 12.715401"
"epoch: 41, Train Loss: 0.232085, Train Acc: 0.871585, Eval Loss: 0.228557, Eval Acc: 0.875396, PSNR: 13.224439"
"epoch: 42, Train Loss: 0.230922, Train Acc: 0.872068, Eval Loss: 0.227198, Eval Acc: 0.877275, PSNR: 12.695543"
"epoch: 43, Train Loss: 0.229798, Train Acc: 0.872568, Eval Loss: 0.226160, Eval Acc: 0.877472, PSNR: 13.591809"
"epoch: 44, Train Loss: 0.228720, Train Acc: 0.873734, Eval Loss: 0.225182, Eval Acc: 0.876780, PSNR: 13.709661"
"epoch: 45, Train Loss: 0.227732, Train Acc: 0.873351, Eval Loss: 0.223993, Eval Acc: 0.877472, PSNR: 13.554801"
"epoch: 46, Train Loss: 0.226643, Train Acc: 0.874067, Eval Loss: 0.222993, Eval Acc: 0.878263, PSNR: 13.975481"
